,title,url,answers,tags,highlights
12,Best practices for database testing with PHPUnit,http://www.stackoverflow.com/questions/3697815,"['https://stackoverflow.com/a/3817970', 'https://stackoverflow.com/a/3955075']","['Concepts > Scope > Test it > Add test to verify charsets', 'DB Management > Cleanup > Load the database at the start of the suite, clear rows and reload data for tables that have changed before each test', 'DB Management > Preparation > setUp() & tearDown() methods', 'DB Management > Preparation > Use test fixtures', 'Environment > Tool > Unit Testing > Zend PHPUnit DB plug-in', 'Process > Test Failure Identification / Debugging > Log failing / slow queries', 'Test Code > Assertions > Compare LINQ query results with DB query results', 'Test Code > Assertions > Select rows from the DB to assert changes were done correctly']","[""{0:I load my MySQL dump at the start of the first suite which contains any of the information I'm assuming to be true across all tests. When each test starts I use a setupDatabase method. This method deletes all the rows from the tables I know have changed then it loads a flat XML dataset containing the data I need to hold true.}"", '{1:I use a collection of simple methods to select rows from the database to assert the changes I made were done correctly.}', '{2:The Zend Framework has an interesting library for PHPUnit that allows tests to compare a database table to a flat XML dataset}', ""{3:It's good to have fixtures (with or without db structure), loaded into db in startUp() of every test.}"", '{4:Adding assertion to compare directly LINQ query result with db query result makes creating tests pure pleasure}', '{5:db should be reinitialised before every testing method}', '{6:mock up database access singleton}', ""{7:Good idea is to log all queries which didn't passed test}"", '{8:try to log slow queries at the same time}', '{9:always add tests for veryfing charsets}']"
13,Best way to create a test database and load fixtures on Symfony 2 WebTestCase?,http://www.stackoverflow.com/questions/14752930,"['https://stackoverflow.com/a/14754514', 'https://stackoverflow.com/a/19382149', 'https://stackoverflow.com/a/22132585']",['Environment > Configuration > General recommendation > Configuration recommendation'],[None]
14,Best way to test SQL queries,http://www.stackoverflow.com/questions/754527,"['https://stackoverflow.com/a/754540', 'https://stackoverflow.com/a/754570', 'https://stackoverflow.com/a/754596']","['DB Management > Test DB > Use a test database with test data', 'Environment > Tool > Unit Testing > Use DbUnit', 'Structure/Design > Testability > Decompose your queries', 'Test Code > Code example > Code example provided']","['{0:Decompose your queries}', '{1:Create a test system database}', '{2:You might want to check DbUnit,}']"
15,CakePHP unit test not recognizing fixtures,http://www.stackoverflow.com/questions/39400558,['https://stackoverflow.com/a/40857193'],"['Environment > Configuration > App Framework > PHPCake > Parameter for query logging', 'Environment > Configuration > Testing Framework > PHPUnit > Parameter for fixture debugging']",[None]
16,Capybara+Selemium: How to initialize database in an integration test code and make it visible in Rails application?,http://www.stackoverflow.com/questions/5433690,['https://stackoverflow.com/a/5435732'],"['Environment > Configuration > Testing Framework > Capybara > Framework/Tool Usage > Capybara configuration', 'Environment > Tool > Acceptance Test > Combine Capybara with Selenium', 'Test Code > Code correction > Code correction']",[None]
17,Cleaning out test database before running tests,http://www.stackoverflow.com/questions/16319463,"['https://stackoverflow.com/a/16319750', 'https://stackoverflow.com/a/16321613']","['DB Management > Cleanup > Cleanup before each test (known state)', 'Test Code > Code example > Code example provided']",[None]
18,Cleaning up a database in django before every test method,http://www.stackoverflow.com/questions/434700,"['https://stackoverflow.com/a/435087', 'https://stackoverflow.com/a/436795', 'https://stackoverflow.com/a/4438518']","['DB Management > Preparation > setUp() & tearDown() methods', 'Test Code > API > Use specific API']","['{0:By default when Django runs against sqlite backend it creates a new in memory database for a test. That means for every class that derives from unittest.TestCase, I get a new database.}', '{1:use django.test.TestCase not unittest.TestCase. }']"
19,Clearing the test database between unit and functional tests in Rails (factory_girl),http://www.stackoverflow.com/questions/1189266,"['https://stackoverflow.com/a/1189355', 'https://stackoverflow.com/a/1191665', 'https://stackoverflow.com/a/15466214']",['Environment > Configuration > DB > Specific database configuration recommendation'],[None]
20,Configure Jest global tests setup with .ts file (TypeScript),http://www.stackoverflow.com/questions/48318230,['https://stackoverflow.com/a/48376661'],"['Environment > Configuration > DB > Specific database configuration recommendation', 'IRRELEVANT ANSWER']",[None]
21,Configure specific in memory database for testing purpose in Spring,http://www.stackoverflow.com/questions/32001391,"['https://stackoverflow.com/a/32001488', 'https://stackoverflow.com/a/32003729', 'https://stackoverflow.com/a/40190079']","['Environment > Configuration > DB > Specific database configuration recommendation', 'Environment > In-Memory DB > Generic recommendation > Use in memory database', 'Test Code > Code example > Code example provided']",[None]
22,"Confusion between E2E testing, Unit testing and mocking data with $httpBackend",http://www.stackoverflow.com/questions/13197272,"['https://stackoverflow.com/a/13313407', 'https://stackoverflow.com/a/39270077']","['Characteristics > Atomic > Test should focus on one thing', 'Characteristics > Isolated/Independent > Assume that the external component works fine', ""Concepts > Scope > Don't test it > Don't test it if there is no logic there"", 'Concepts > Scope > Test it > Test front end and back end separately', 'Mocking > When > Use Mocking', 'Test Code > API > Use specific API']","[""{0:For any database-centric application, complete integration testing (i.e. with a live server, connected to a database loaded with data) would be particularly messy because there would have to be a process that generates sufficient data for all tests and resets the DB and tests would have to be careful not to modify each other's data.}"", ""{10:You are right that it's messy to test against a live database}"", '{11:you should use $httpBackend to mock out the server.}', '{12:If your service/factory uses the http service to call a remote API you can return fake data from it for unit testing.If you are starting a new Angular project consider using Protractor for E2E tests.}', ""{1:I'm assuming it is best to sever the link between server and client and run the Angular tests using mock data only.}"", '{2:unit testing controllers is redundant as their values are bound to the model}', '{3:Unit testing would only be helpful in very complex controllers or to test services and directives.}', ""{4:this poses the aforementioned problem of creating test data for all scenarios and you'd probably need to reset the in-memory DB before each test to be sure the tests are not affected.}"", ""{5:there's no particular reason that angular tests and backend tests need to be commingled.}"", '{6: test them separately,}', '{7:assuming that the other component works fine}', '{8:test just the component the unit tests is interested in}', ""{9:Unit tests don't concern themselves with how the UI works, or that the right data is bound correctly, but rather than the business logic of the app is correct.}""]"
23,Connector for Odoo through xmlrpc (with testing code),https://codereview.stackexchange.com/questions/123758,[None],['NO ANSWER'],[None]
24,Convincing my boss that touching the Database is integration testing,https://softwareengineering.stackexchange.com/questions/257434,"['https://softwareengineering.stackexchange.com/a/257439', 'https://softwareengineering.stackexchange.com/a/257502', 'https://softwareengineering.stackexchange.com/a/257508']","['Characteristics > Isolated/Independent > Unit test should be independent / isolated', 'Characteristics > Paralysable > Unit tests should be runnable in parallel', 'Concepts > Definitions > Explanation of levels of tests: unit, interaction, integration and acceptance tests']","['{0:Show the benefits.}', ""{1:Don't get into an argument over the definitions of words}""]"
25,Could not load TestContextBootstrapper - Spring Unit testing,http://www.stackoverflow.com/questions/28013452,"['https://stackoverflow.com/a/28026389', 'https://stackoverflow.com/a/28039465', 'https://stackoverflow.com/a/40981292']",['Environment > Configuration > General recommendation > Upgrade to newer version'],['{0:you are using a old version of base spring (2.5.6)}']
26,Create better Unit test,https://codereview.stackexchange.com/questions/48624,"['https://codereview.stackexchange.com/a/48625', 'https://codereview.stackexchange.com/a/48628']","['Characteristics > Self-explaining > Assumptions on existings records should be obvious', 'Characteristics > Self-explaining > Intuitive test case names', 'Concepts > Coverage > Cover all corners', 'Structure/Design > Testability > Testability']","['{0:they make assumptions that are not exactly obvious}', '{1:Covering all corners}', '{2:test case names could be more intuitive}', '{3:Give your tests names describing what they test!}', '{4:also belong in a @After method rather than being done in every test individually.}']"
27,Create Duplicate SQL Database for Testing,http://www.stackoverflow.com/questions/12704572,"['https://stackoverflow.com/a/12704621', 'https://stackoverflow.com/a/12705025', 'https://stackoverflow.com/a/46105213']","['DB Management > Test DB > Use backed up database to create a test database', 'DB Management > Test DB > Use copy database to create a test database']",[None]
28,Creating many random test database entries,https://codereview.stackexchange.com/questions/14411,"['https://codereview.stackexchange.com/a/14463', 'https://codereview.stackexchange.com/a/176820']","['DB Management > Test data > Generation > Create random but valid data entries', 'Performance > Query optimisation > Speed up insert > Use multi_query API (MySQL)', 'Performance > Query optimisation > Speed up insert > Use prepared statement in loops']","['{0:You could run a million INSERT queries fast if you stick all of them into a single string, and use the multi_query API.}', '{1:even a simple loop might be good enough, if you use prepared statements.}']"
29,DAO Unit testing,http://www.stackoverflow.com/questions/9807414,"['https://stackoverflow.com/a/10012781', 'https://stackoverflow.com/a/14384960', 'https://stackoverflow.com/a/9807665']","['Concepts > Scope > Test it > Test DAO/Repository normally if it performs any logic', 'DB Management > Test DB > Use a Test database and rollback', 'Environment > In-Memory DB > Generic recommendation > Use in memory database', 'Environment > In-Memory DB > HSQLDB > HSQLDB', 'Environment > Tool > Unit Testing > Use DbUnit', 'Mocking > What > Mock the DAO to test the Services', 'Mocking > When > Use Mocking']","['{0:test database}', '{1:running test database}', '{2:rollback the test data }', '{3:DAO worth testing with mocks}', '{4:tabase DBUnit is use}', '{5:an in-memory database like H2 or HSQLDB}', '{6:HSQLDB for DAO testing}', '{7:HSQLDB}', '{8:HSQLDB}', '{9:Once DAOs are tested, definitely mock them to unit test your services.}']"
30,Database data needed in integration tests; created by API calls or using imported data?,http://www.stackoverflow.com/questions/482827,"['https://stackoverflow.com/a/542817', 'https://stackoverflow.com/a/552365', 'https://stackoverflow.com/a/552595']","['DB Management > Cleanup > Cleanup before each test (known state)', 'Environment > Use Real DB > Generic recommendation > Use real database']","['{0:create an empty database}', '{1:run the install script to initialize it,}', '{2:test with real database}', '{3:known state before every test}']"
31,Databases and Unit/Integration Testing,https://softwareengineering.stackexchange.com/questions/101273,"['https://softwareengineering.stackexchange.com/a/101278', 'https://softwareengineering.stackexchange.com/a/101280', 'https://softwareengineering.stackexchange.com/a/101281']","['Concepts > Definitions > Explanation of levels of tests: unit, interaction, integration and acceptance tests', 'DB Management > Cleanup > Cleanup before each test (known state)', 'DB Management > Preparation > setUp() & tearDown() methods']","['{0:For me unit tests should not deal with the database, integration tests deal with the database.}', '{1:Integration tests that deal with the database should in practice have a empty database with a tear up and tear down approach, using a transaction based approach is quite a good way to go (i.e. create a transaction on setup and rollback on tear down).}', ""{2:If your tests depend on the database, then I think it's more important that the data you care about is in a known state for your testing, rather than the database being empty.}""]"
32,Data-driven tests with jUnit,http://www.stackoverflow.com/questions/1822315,"['https://stackoverflow.com/a/1822573', 'https://stackoverflow.com/a/1822663', 'https://stackoverflow.com/a/1823134']","['Environment > In-Memory DB > Generic recommendation > Use in memory database', 'Environment > Tool > Mocking > Use Mockito', 'Test Code > API > Use parameterised tests']","['{0:JUnit4 you can use the Parameterized testrunner}', '{1:TestNG, with its @DataSource, shines.}', '{2:in-memory database such as hsqldb }', '{3:On top of that I will write my tests using JUnit and Mockito.}']"
33,Data Quality in Relational Database Regression Tests,https://softwareengineering.stackexchange.com/questions/162242,"['https://softwareengineering.stackexchange.com/a/162252', 'https://softwareengineering.stackexchange.com/a/162254']",['Structure/Design > Testability > Database design recommandation'],"['{0:database design.}', '{1:Validate that the program(s) }', '{2:database design validation}', '{3:guidelines on how/where to begin}']"
34,Determining the best way(s) of adding unit tests to a large project that makes good use of stored procedures,https://softwareengineering.stackexchange.com/questions/335295,['https://softwareengineering.stackexchange.com/a/335317'],"['Concepts > Definitions > Explanation of levels of tests: unit, interaction, integration and acceptance tests', 'DB Management > Cleanup > Transactions > Use transaction scopes (which revert the state of DB after each test)', 'Mocking > What > Mock stored procedure']","[""{0:his also means you don't need to mock the database (only the data), so writing the tests will be much easier.}"", ""{1:See if you can use transactions around each test. BEGIN the transaction before you start the test, and after the test ROLLBACK the transaction. That way you won't have to repopulate the database for each test - every test in the session will use the same initial database and the framework will clean up after it.}"", '{2:Unit tests that mocks the stored procedure and verifies the C# code uses it correctly.}']"
35,Different db for testing in Django?,http://www.stackoverflow.com/questions/4650509,"['https://stackoverflow.com/a/4650651', 'https://stackoverflow.com/a/48089700', 'https://stackoverflow.com/a/9797486']",['Environment > Configuration > Testing Framework > Django > Different settings for production and testing (staging) databases in Django'],['{0:In your settings.py (or local_settings.py)}']
36,Django: is there a way to count SQL queries from an unit test?,http://www.stackoverflow.com/questions/1254170,"['https://stackoverflow.com/a/1254615', 'https://stackoverflow.com/a/44370116', 'https://stackoverflow.com/a/7728720']",['IRRELEVANT ANSWER'],[None]
37,Does TDD include integration tests?,http://www.stackoverflow.com/questions/18988040,"['https://stackoverflow.com/a/18998744', 'https://stackoverflow.com/a/19000711', 'https://stackoverflow.com/a/19002069']","['Concepts > Book > Book recommendation', 'Concepts > Definitions > Explanation of levels of tests: unit, interaction, integration and acceptance tests', 'Concepts > Definitions > TDD has to be unit tests rather than integration tests', 'Mocking > When > Use Mocking', 'Process > Testing > Use integration testing']","['{0:Golden rule of TDD says: Never write new functionality without failing test.}', '{1:book Growing Object-Oriented Software, Guided by Tests }', '{2:From Test-Driven Development By Example }']"
38,Does using fixtures make a unit test an integration test?,https://softwareengineering.stackexchange.com/questions/367252,['https://softwareengineering.stackexchange.com/a/367257'],['Concepts > Definitions > No side effect and isolated = unit test'],"['{0:it has no side effects and can be run in parallel}', '{1:isolated}', '{2:then it’s a unit test}']"
39,Do we need test data or can we rely on unit tests and manual testing?,https://softwareengineering.stackexchange.com/questions/113441,"['https://softwareengineering.stackexchange.com/a/113447', 'https://softwareengineering.stackexchange.com/a/113448', 'https://softwareengineering.stackexchange.com/a/113516']","['Concepts > Book > Book recommendation', 'Concepts > Coverage > Cover all corners', 'Mocking > When > Replace the DB with a mock object', 'Process > Testing > Test persistence layer through manual testing', 'Structure/Design > Testability > Break the code down to smaller testable units']","['{0:having unit tests and data mock-ups is a best practice}', '{1:Break the code down into smaller more test-able units}', '{2:Look for anti-patterns like God classes/methods, not following DRY, single-responsibility, etc}', ""{3:the Tester's job is not to generate the test data, just to test the application}"", '{4:the best strategy is to focus on unit tests for business logic. Try to cover as much as possible of your core domain code.}', '{5:persistence layer, I normally invest much less effort on automated tests and leave it to dedicated manual testers}', '{6:I would recommend you to read Growing Object-Oriented Software, Guided by Tests. This book has a whole chapter dedicated to persistence tests.}']"
40,Do you have any SQL Injection Testing &quot;Ammo&quot;?,http://www.stackoverflow.com/questions/274659,"['https://stackoverflow.com/a/274667', 'https://stackoverflow.com/a/274670', 'https://stackoverflow.com/a/274754']",['Environment > Tool > Vulnerability Testing > Vulnerability Testing'],[None]
41,Do you test your SQL/HQL/Criteria?,https://softwareengineering.stackexchange.com/questions/33182,"['https://softwareengineering.stackexchange.com/a/33184', 'https://softwareengineering.stackexchange.com/a/33186', 'https://softwareengineering.stackexchange.com/a/33589']","['Characteristics > Repeatable > Test against the same data when optimizing query', 'Concepts > Book > Book recommendation', 'Concepts > Scope > Test it > Check both the entities and queries', 'Concepts > Scope > Test it > Test DAO/Repository normally if it performs any logic', 'Concepts > Scope > Test it > Test the basic cases in DAO/Repository', 'DB Management > Cleanup > Populate once, and rollback changes before each test', 'DB Management > Preparation > Use the API code to populate data', 'DB Management > Test DB > Use local database', 'Environment > In-Memory DB > Generic recommendation > Use in memory database', 'Environment > Tool > Unit Testing > Use DbUnit', 'Process > Testing > Standardise testing methods', 'Test Code > Assertions > Use custom SQL assertions']","['{0:There are frameworks like DbUnit that allow you to create real in-memory database and execute real SQL.}', '{10:I read a book called nHibernate 3.0 Cookbook from Jason Dentler }', '{11:Fast testing with SQLite in-memory database}', ""{12:If I'm trying to optimize a select statement, it will get tested against the same dataset before and after for two reasons}"", ""{1:Always test your DAO or Repository for the most basic case, just to ensure that you've hooked everything up properly}"", '{2:Test your DAO or Repository methods normally if it performs any logic beyond invoking the Hibernate api}', '{3:Do the least possible work to test the persistence layer!}', '{4:this is somewhat mitigated if your company standardizes to the testing method}', '{5:in general you can test the most important aspects just by using SQL in the setup and teardown methods, as well using custom sql assertions}', '{6:I use local development databases}', '{7:I do with nHibernate is creating test suites that create the database & data at setup}', '{8:then run tests that check both entities and queries}', '{9:we used the Rollback technique. Each test was creating a transaction which was rolled back at the end. This is described here.}']"
42,Efficient SQL test query or validation query that will work across all (or most) databases,http://www.stackoverflow.com/questions/3668506,"['https://stackoverflow.com/a/35270023', 'https://stackoverflow.com/a/3668555', 'https://stackoverflow.com/a/3670000']",['Test Code > Code example > Code example provided'],[None]
43,Entity Framework 7 In Memory Database - Unit Testing using xUnit,https://codereview.stackexchange.com/questions/108784,['https://codereview.stackexchange.com/a/108824'],['DB Management > Cleanup > Transactions > Use transaction scopes (which revert the state of DB after each test)'],"['{0:you can reuse a single in-memory database in multiple test cases, by annotating the text cases (or rather, the entire test class) transactional.}']"
44,General function to test for empty/no-value controls,https://codereview.stackexchange.com/questions/175679,"['https://codereview.stackexchange.com/a/175964', 'https://codereview.stackexchange.com/a/175987', 'https://codereview.stackexchange.com/a/212209']",['IRRELEVANT ANSWER'],[None]
45,Has anyone had any success in unit testing SQL stored procedures?,http://www.stackoverflow.com/questions/12374,"['https://stackoverflow.com/a/12387', 'https://stackoverflow.com/a/12508', 'https://stackoverflow.com/a/25204']","['DB Management > Test DB > Use a Test database and rollback', 'Environment > Tool > Unit Testing > Use DbUnit']","['{0:What makes this worse is that some of these stored procedures end up being very long, because of the performance hit when passing temporary tables between SPs. This has prevented us from refactoring to make the code simpler.}', '{1:found that setting up the test data for these tests is really hard. For example, we end up copying around test databases.}', '{2:if I created a simple abstract base class for data access that allowed me to inject a connection and transaction, I could unit test my sprocs to see if they did the work in SQL that I asked them to do and then rollback so none of the test data is left in the db.\n\n}', '{3:felt better than the usual ""run a script to setup my test db, then after the tests run do a cleanup of the junk/test data""}', '{4:these tests could be run alone w/out having a great deal of ""everything in the db needs to be \'just so\' before I run these tests"".}', '{5:Have you tried DBUnit?}']"
46,Having a TestContext to test methods instead of Dependency Injection,https://softwareengineering.stackexchange.com/questions/306380,"['https://softwareengineering.stackexchange.com/a/306381', 'https://softwareengineering.stackexchange.com/a/306400']",['Environment > Tool > Unit Testing > Test isolation plugin > Use Microsoft Fakes'],"['{0:use Microsoft Fake}', '{1:Use a real DI solution}']"
47,How are people unit testing code that uses Linq to SQL,http://www.stackoverflow.com/questions/52657,"['https://stackoverflow.com/a/125571', 'https://stackoverflow.com/a/52757', 'https://stackoverflow.com/a/9353934']","['Mocking > How > Use wrapper implementation class', 'Mocking > What > Mock the wrapper', 'Test Code > Code example > Code example provided']","['{0:wrapper:}', '{1:in-memory mock}', '{2:first one implements}', '{3:Wrap the DataContext, then mock the wrapper. }']"
48,"How are people unit testing with Entity Framework 6, should you bother?",http://www.stackoverflow.com/questions/22690877,"['https://stackoverflow.com/a/22691643', 'https://stackoverflow.com/a/22691703', 'https://stackoverflow.com/a/22694090']","['Characteristics > Atomic > Atomic tests', 'Characteristics > Repeatable > Repeatable tests', ""Concepts > Scope > Don't test it > Don't test 3rd party code"", 'Concepts > Scope > Test it > Test mappings/implementations are working with the DB', 'DB Management > Cleanup > Cleanup before each test (known state)', 'DB Management > Preparation > setUp() & tearDown() methods', 'DB Management > Test data > Generation > Use ORM to init test data', 'Environment > Tool > Unit Testing > Use Effort (Tool)', 'Test Code > Assertions > Use single asserts']","['{0:The first thing you need to do is to be able to mock your DAL so your BLL can be tested independently of EF and SQL. These are your unit tests. Next you need to design your Integration Tests to prove your DAL, in my opinion these are every bit as important.}', ""{1:There are many purists who say that you shouldn't test technologies such as EF and NHibernate. They are right, they're already very stringently tested and as a previous answer stated it's often pointless to spend vast amounts of time testing what you don't own.}"", '{2:You need to test that your mappings/implementations are working with your database. In my opinion this is one of the most important parts of a system you can test.}', '{3:using something like Effort to mock EF}', '{4:Each test must be repeatable}', '{5:Each test must be atomic}', '{6:Your database needs to be in a known state with each test. Most systems use either a backup or create scripts for this.}', '{7:I use my ORM to create my test! Rather than having a separate script for every DAL test in my system I have a test setup phase which creates the objects, attaches them to the context and saves them.}', '{8: (single asserts are good)}', '{9:I have been using Effort in my tests}']"
49,"How can I automatically test my site for SQL injection attacks, using either a script or program?",http://www.stackoverflow.com/questions/9685884,"['https://stackoverflow.com/a/9781500', 'https://stackoverflow.com/a/9861418', 'https://stackoverflow.com/a/9865741']",['Environment > Tool > Generic recommendation > Various tool recommendations'],"['{0:Free tools like}', '{10:The Burp Scanner works}', '{11:try Grendel Scan It }', '{12:a list of }', '{1:burpsuite }', '{2:sqlninja}', '{3:google}', '{4:websecurify}', '{5:wapiti}', '{6:nikto}', '{7:NTOSpider}', '{8:sqlmap}', '{9:Paros Proxy}']"
50,How can I keep test data after Django tests complete?,http://www.stackoverflow.com/questions/30504031,['https://stackoverflow.com/a/31486900'],['DB Management > Cleanup > Transactions > Avoid roll back at the end of transaction'],[None]
51,How can I separate testing and production data in my Firebase Database?,http://www.stackoverflow.com/questions/38021100,['https://stackoverflow.com/a/39404946'],['Environment > Configuration > Environment > Cloud > Create multiple projects for testing (Firebase cloud)'],"['{0:Best practices dictate that tests should be run on a separate database from production data.}', '{1:Using multiple sub-trees within the same project for testing and production - This seems messy and the testing and production data are hardly separated.}', '{2:Setting up multiple Firebase projects for testing and production}', '{3:Create multiple Firebase projects.}']"
52,How can I specify a database for Django Tests to use instead of having it build it every time?,http://www.stackoverflow.com/questions/4606756,"['https://stackoverflow.com/a/37621760', 'https://stackoverflow.com/a/4606983']",['Environment > Configuration > DB > Specific database configuration recommendation'],[None]
53,How can I time a code segment for testing performance with Pythons timeit?,http://www.stackoverflow.com/questions/2866380,"['https://stackoverflow.com/a/22135117', 'https://stackoverflow.com/a/2866456', 'https://stackoverflow.com/a/2866460']",['IRRELEVANT ANSWER'],[None]
